factor_or_relationship,what_the_research_says,source_title,author_or_organization,year,url,support_type
Stratigraphic host of manganese ore,"Manganese ore in this belt occurs specifically within the Mansar Formation of the Sausar Group, at three recognised horizons near the bottom, middle and top of the formation, giving rise to the major deposits including Ukwa, Bharweli, Ramrama, Tirodi and Sukli-Sitapatore.","Hierarchy Amongst Rocks of Sausar Group - Evidences from Seoni-Balaghat Area, Madhya Pradesh, India",Crimson Publishers (geological research article),2019,https://crimsonpublishers.com/aaoa/fulltext/AAOA.000587.php,directly supported
Sausar Group litho-stratigraphic succession,"The Sausar Group succession is, in ascending order: Sitasaongi Formation, Lohangi Formation, Mansar Formation (manganese-bearing), Chorbaoli Formation, Junewani Formation, and Bichua Formation, with the Tirodi (biotite) Gneiss generally treated as the older basement complex.","Structural Evolution of Sausar Group around Parseoni, Nagpur District, Maharashtra: Its Implication for Stratigraphy",Journal of the Geological Society of India (ResearchGate),2002,https://www.researchgate.net/publication/241478241_Structural_evolution_of_Sausar_group_around_Parseoni_Nagpur_district_Maharashtra_Its_Implication_for_Stratigraphy,directly supported
Regional litho-stratigraphic table (multiple authors),"Independent regional stratigraphic compilations (Straczek et al. 1956; Narayanaswami et al. 1963; Basu 1958) all place two manganese-ore-bearing horizons within/adjacent to a 'Manganese Group' of muscovite schist with gondite, bracketed by the Chorbaoli/Junewani and Lohangi-equivalent formations, over an Amgaon Gneissic Complex basement in the south.",Regional Exploration Proposal for Manganese Ore (Lanjera-Futala Block),"National Mineral Exploration Trust (NMET), Government of India",2019 (proposal document),https://nmet.gov.in/upload/project_registration/5c358b4aae6b6Proposal-Lanjera-%20Futala_%20Block_Mn.pdf,directly supported
Structural control of ore emplacement (shear zones / mylonites),"Field relations - shear-zone association of every mapped manganese deposit, S-C fabric in the ore, pinch-and-swell ore geometry, and cross-cutting (non-co-planar) contacts with host-rock foliation at Tirodi, Bharweli and Ukwa - are cited as evidence that ore bodies were emplaced along shear/mylonite zones parallel to the regional S1 schistosity, rather than being purely of sedimentary origin.","Evidences Towards Hydrothermal Origin of Manganese Deposits of Sukli-Sitapathore-Tirodi-Ramrama-Bharweli-Ukwa Belt of Madhya Pradesh, India",Crimson Publishers (geological research article),2020,https://crimsonpublishers.com/nrs/fulltext/NRS.000606.php,directly supported
Fold control on ore-body geometry,"Ore bands are folded along later (S2/S3) axial trends producing a sinuous outcrop pattern, and ore-band terminations at Kandri and Mansar mines are attributed to fold-interference effects, indicating that polyphase folding directly controls ore-body shape and continuity.","Structural Evolution of Sausar Group around Parseoni, Nagpur District, Maharashtra: Its Implication for Stratigraphy",Journal of the Geological Society of India (ResearchGate),2002,https://www.researchgate.net/publication/241478241_Structural_evolution_of_Sausar_group_around_Parseoni_Nagpur_district_Maharashtra_Its_Implication_for_Stratigraphy,directly supported
Polyphase deformation / multiple lineament trend sets,"Detailed structural analysis at Chikla-Sitekesa (Bhandara district) recognises four generations of foliation (S1-S4) and six generations of lineation (L1-L6), reflecting a triclinic, multi-phase deformation history with several distinct structural trend sets rather than a single fault/lineament orientation.","Structural Analysis of a Part of the Sausar Group Rocks in Chikla-Sitekesa Area, Bhandara District, Maharashtra",Journal of the Geological Society of India,1977,https://www.geosocindia.org/index.php/jgsi/article/view/64169/0,directly supported
Tirodi Gneiss as basement / contact metamorphism,"The Tirodi biotite gneiss is treated by several workers as basement to the Sausar Group across a disconformable/unconformable contact, and is cited as the heat source for zoned contact-metamorphic aureoles developed in adjacent Bichua Formation metacarbonates in western Balaghat.","Contact Metamorphism of Calcareous Metasediments of Sausars from Western Balaghat Area of Madhya Pradesh, India and Its Implication in Sausar Stratigraphy",Crimson Publishers / ResearchGate (geological research article),2018,https://www.researchgate.net/publication/358643955_Contact_Metamorphism_of_Calcareous_Metasediments_of_Sausars_from_Western_Balaghat_Area_of_Madhya_Pradesh_India_and_Its_Implication_in_Sausar_Stratigraphy,directly supported
Ore metamorphic grade / mineral assemblage,"Manganese-rich rocks in the belt carry a metamorphic mineral assemblage (rhodochrosite, pyroxmangite, magnetite, garnet, Mn-cummingtonite, pyrophanite, quartz +/- tephroite) interpreted to have formed at roughly 500-550 degrees C, i.e. lower-to-mid amphibolite facies conditions.","Structural Evolution of Sausar Group around Parseoni, Nagpur District, Maharashtra: Its Implication for Stratigraphy",Journal of the Geological Society of India (ResearchGate),2002,https://www.researchgate.net/publication/241478241_Structural_evolution_of_Sausar_group_around_Parseoni_Nagpur_district_Maharashtra_Its_Implication_for_Stratigraphy,directly supported
Gondite mineral assemblage and distribution,"Gondite (Mn-silicate rock dominated by spessartine, rhodonite, quartz, Mn-diopside and related phases) is interbanded with the manganese oxide ore and is described as an important stratigraphic marker of the Mansar Formation horizon; a related gondite occurrence is also documented at Gowari Wadhona on the belt's westernmost flank, i.e. outside the main ore-horizon trend.","Mineralogy and genesis of the metamorphosed manganese silicate rocks (gondite) of Gowari Wadhona, Madhya Pradesh, India",Contributions to Mineralogy and Petrology (Springer),1975 (article; journal archive),https://link.springer.com/article/10.1007/BF00371068,directly supported
Ore mineral assemblage variation between mines,"X-ray diffraction and ore petrography show that manganese ore mineral assemblages differ significantly between the Bharweli, Tirodi and Ukwa mines, indicating some variation in metamorphic/genetic history along the belt even though all three lie within the same regional ore horizon system.","Manganese Ore Minerals Assemblages and Mineral Paragenesis with the Help of Ore Petrography and XRD Studies of Balaghat District, (M.P.) India",Academia.edu (geological research thesis/article),2015,https://www.academia.edu/103652594/Manganese_Ore_Minerals_Assemblages_and_Mineral_Paragenesis_with_the_Help_of_Ore_Petrography_and_XRD_Studies_of_Balaghat_District_M_P_India,directly supported
Structural control at Chikla Mine (synform/fold-core hosting),"At Chikla Mine, the manganese ore occurs at the contact of Mansar Formation mica schist with Sitasaongi Formation quartz-mica schist, and the ore body itself is described as occupying the core of a plunging synform, with mining following the synform's axial trace through several parallel, tightly folded ore bands.","Chikla mines, Chikala, Bhandara District, Nagpur Division, Maharashtra, India (locality record)","Mindat.org (Hudson Institute of Mineralogy, citing Mitra 1965; Sarkar et al. 1977)",2024 (page; underlying refs 1965-1977),https://www.mindat.org/loc-56561.html,directly supported
MOIL mine locations and operating status,MOIL operates underground and opencast manganese mines in Balaghat district (Madhya Pradesh) and in Nagpur/Bhandara districts (Maharashtra); the Dongri Buzurg mine (Bhandara district) is specifically an opencast mine producing manganese-dioxide-grade ore.,About MOIL,Manganese Ore (India) Limited - MOIL,"2025 (company website, current as retrieved)",https://www.moil.nic.in/content/56/about-us,directly supported
MOIL mine list (2020s operating roster),"As of the reporting period, MOIL operated ten mines in total: seven underground (Kandri, Munsar, Beldongri, Gumgaon, Chikla, Balaghat, Ukwa) and three opencast (Dongri Buzurg, Sitapatore, Tirodi), with the Balaghat mine described as the deepest underground manganese mine in Asia.",Candid conversation with CMD MOIL,The Live Nagpur (news interview),2020,https://thelivenagpur.com/2020/03/09/candid-conversation-with-cmd-moil/,directly supported
Anchor coordinates - Tirodi,"Used to fix the Tirodi spatial anchor at approximately 21.68 N, 79.73 E.","Tirodi (town, Balaghat district)",Wikipedia (gazetteer entry),2024,https://en.wikipedia.org/wiki/Tirodi,directly supported (coordinate only)
Anchor coordinates - Ukwa,"Used to fix the Ukwa spatial anchor at approximately 21.97 N, 80.47 E.","Ukwa (census town, Balaghat district)",Wikipedia (gazetteer entry),2024,https://en.wikipedia.org/wiki/Ukwa,directly supported (coordinate only)
Anchor coordinates - Balaghat / Bharweli,"Used to fix the Balaghat town anchor at ~21.80 N, 80.18 E and the Bharweli census-town anchor at ~21.84 N, 80.23 E.",Balaghat (city); Bharveli (census town),Wikipedia (gazetteer entries),2024,https://en.wikipedia.org/wiki/Balaghat ; https://en.wikipedia.org/wiki/Bharveli,directly supported (coordinate only)
Anchor coordinates - Chikla / Dongri Buzurg,"Used to fix the Chikla Mine anchor at ~21.551 N, 79.753 E and the Dongri Buzurg Mine anchor at ~21.550 N, 79.694 E (Bhandara district, Maharashtra).","Chikala, Bhandara District locality record; Dongri Buzurg railway station",Mindat.org; Wikipedia (gazetteer entries),2024-2025,https://www.mindat.org/loc-203958.html ; https://en.wikipedia.org/wiki/Dongri_Buzurg_railway_station,directly supported (coordinate only)
Sentinel-2 iron-oxide / alteration mapping capability,"Sentinel-2's MSI instrument carries several bands spanning the ~0.9 micron ferric-iron absorption feature (where older sensors such as ASTER/Landsat had only one band), giving it genuine, literature-documented utility for surface iron-oxide and lithological/alteration mapping at regional-to-continental scale.",Using Sentinel-2 MSI for mapping iron oxide minerals on a continental and global scale,NASA Astrophysics Data System (AGU Fall Meeting abstract),2019,https://ui.adsabs.harvard.edu/abs/2019AGUFMGC51E1128V/abstract,directly supported
Sentinel-2 band-ratio indices for iron-oxide / alteration,"Diagnostic multispectral band ratios such as B4/B3, B4/B2, B11/B12 and B12/B8A are reported in the remote-sensing literature as proxies for ferric-oxide and hydroxyl/clay alteration minerals, and have been applied together with lineament analysis to delineate structurally controlled mineral prospecting corridors elsewhere in the world.",Mapping of mineral resources and lithological units: a review of remote sensing techniques,ResearchGate (review article),2019,https://www.researchgate.net/publication/332248720_Mapping_of_mineral_resources_and_lithological_units_a_review_of_remote_sensing_techniques,directly supported (general principle; not Sausar-belt-specific)
