parameter,value
generation_date_original,2026-09-05
revision_date,2026-09-05
revision_type,"One-pass audit + correction of the previously generated Sausar-belt synthetic dataset, per project brief. No re-simulation from scratch: original spatial fields, labels, and PU-learning structure were preserved wherever they were already sound."
n_samples,20000 (unchanged from source)
n_original_columns,114 (source sausar_manganese_synthetic_dataset.csv)
n_core_feature_columns,"65 (63 carried over + 2 new engineered: aspect_sin, aspect_cos)"
n_extended_only_additional_columns,"28 (on top of the 65 core columns, so extended = 93 feature columns total)"
n_support_columns,"9 (sample_id, latitude, longitude, spatial_block_id, regional_zone_id, label_status, manganese_associated, data_quality_flag [new], feature_distribution_distance)"
n_columns_removed_entirely,"15 (state, district, study_area, geological_domain, fold_presence, iron_oxide_index, clay_mineral_index, legacy_report_manganese_mention, mean_B4_100m, std_B4_100m, lineament_density_100m, temporary_binary_label, synthetic_ground_truth_probability, synthetic_ood_score, data_provenance - see feature_audit file for the reason for each)"
study_region_bbox,"latitude 20.95-22.15 N, longitude 79.35-80.65 E (Balaghat district, Madhya Pradesh and Bhandara district, Maharashtra sectors of the Sausar manganese belt) - unchanged from source"
coordinate_reference,WGS84 decimal degrees
label_scheme,"PU-learning style: label_status in {POSITIVE, UNCERTAIN, UNLABELLED}. UNLABELLED must never be treated as a confirmed absence of manganese. manganese_associated is the same information in domain-worded form (associated/ambiguous/not_documented) - use only one of the two as the modelling target, never both."
label_prevalence,POSITIVE 1273/20000 (6.37%); UNCERTAIN 1117/20000 (5.59%); UNLABELLED 17610/20000 (88.05%) - unchanged from source generation
spatial_validation_columns,"spatial_block_id (642 unique 0.05deg / ~5.5km grid blocks) and regional_zone_id (10 KMeans spatial zones). Use one of these as the GroupKFold/StratifiedGroupKFold group key. Do NOT use random row-wise train/test splitting - the underlying spatial fields are deliberately autocorrelated at 1-30 km length scales, so random splits will leak information between train and test and overstate accuracy."
out_of_domain_support,"feature_distribution_distance is retained specifically to support an OUT OF STUDY DOMAIN / LOW APPLICABILITY response for query points whose feature vector (once real features are extracted for a new lat/lon) falls far outside the training feature-space (e.g. West Bengal, a different geological terrane). synthetic_ood_score from the source file was removed because it is transductive (percentile-rank-based) and not well-defined for a single new query point; build the OOD/applicability check directly on a Mahalanobis-type distance (or an isolation-forest/one-class model) fit on the CORE or EXTENDED feature matrix instead."
