feature,keep_remove,core_extended_exclude,reason,leakage_risk,available_at_prediction,synthetic_derived_real_basis
sample_id,keep,exclude (identifier),Unique row identifier only; carries no geological information.,none,yes,real (assigned ID)
latitude,keep,core,Direct spatial coordinate; needed to place a new query point and as a legitimate trend-surface predictor.,low,yes,real (WGS84 coordinate)
longitude,keep,core,Same as latitude.,low,yes,real (WGS84 coordinate)
state,remove,exclude,Derived by a single hard latitude threshold (21.62N) in generation; 100% redundant with latitude and carries no independent geological meaning. Keeping it risks the model learning an arbitrary administrative cut instead of geology.,medium (spurious correlation via synthetic generation),yes but redundant,derived (rule-based from latitude)
district,remove,exclude,"Same issue as state - redundant with latitude, administrative not geological.",medium (spurious correlation),yes but redundant,derived (rule-based from latitude)
study_area,remove,exclude,"Six categories are essentially named-corridor bins built around the same 8 known-deposit anchors already captured by distance_to_nearest_known_manganese_occurrence_km; keeping both lets the model exploit an almost one-to-one recoding of ""distance to known mine"" as a categorical shortcut, and the category names themselves reference known deposits (Ukwa, Balaghat-Bharweli, etc.), which is not meaningful for an arbitrary new query point.","high (near-identifier, encodes known-deposit membership)",no (undefined for a genuinely new location outside the named corridors),derived (binned from anchor proximity)
geological_domain,remove,exclude,"Free-text restatement of geological_group with added parenthetical description; 1:1 redundant category, confirmed by cross-tab (every geological_group maps to exactly one geological_domain value plus some independently-missing rows). Keeping both adds no information and doubles one-hot dimensionality for the same signal.",none,yes but redundant,derived (rewording of geological_group)
spatial_block_id,keep,exclude (grouping key),"0.05 deg grid-block ID for spatial-blocked cross-validation. Must be used as a CV group, never as a one-hot/ordinal model feature, or the model memorizes block identity instead of learning geology.","none (by design, for CV only)",yes,derived (spatial grid)
regional_zone_id,keep,exclude (grouping key),"10-cluster KMeans spatial zone ID, alternative/coarser CV grouping key. Same caution as spatial_block_id.","none (by design, for CV only)",yes,derived (KMeans spatial clustering)
distance_to_nearest_known_manganese_occurrence_km,keep,core,"Legitimate, standard mineral-prospectivity-mapping predictor (proximity to known occurrences). Retained, but flagged: it is the single highest-weight term in the hidden-truth simulation formula, so a model can score well largely by learning ""close to a known mine"". Recommend always reporting model performance both with and without this feature, and interpreting high scores far from any anchor as the most exploration-relevant output.",medium (dominant synthetic signal; legitimate real-world feature but can dominate score if not checked),yes,"real relationship, synthetic distance values"
geological_group,keep,core,Core lithostratigraphic classification; directly supported by regional stratigraphic literature.,low,yes,"real (formation names/order), synthetic assignment per sample"
geological_formation,keep,core,Finer formation-level unit within geological_group; literature-supported succession.,low,yes,"real (formation names), synthetic assignment"
stratigraphic_unit,keep,core,Finer stratigraphic position (e.g. specific Mansar Fm horizon); literature-supported concept.,medium (fine position within Mansar Fm correlates with ore horizons),"yes, where formation-level mapping exists","real (concept), synthetic assignment"
lithology,keep,core,Dominant rock type; standard geological input.,low,yes,"real (rock type descriptions), synthetic assignment"
host_rock,keep,core,"Host-rock description, sometimes flagged ore-adjacent facies; standard geological input.",low-medium,yes,"real (rock descriptions), synthetic assignment"
ore_host_compatibility_score,keep,core,"Synthetic lithology-ore compatibility score; legitimate geological composite, one of the strongest and most defensible predictors (0.74 corr with hidden truth), consistent with it being a direct geological driver.","medium (high correlation with hidden truth by construction, but the underlying concept - lithological favourability - is a real prospectivity-mapping input)",yes,synthetic (rule-based on lithology/formation)
manganese_bearing_horizon_indicator,keep,extended,"1 if sample falls within a documented Mansar Fm Mn-ore horizon. This is genuine stratigraphic-position information (available anywhere the formation has been mapped to horizon level) but it enters the hidden-truth formula with the second-highest weight, so it is the strongest single driver of the synthetic label after anchor distance. Placed in EXTENDED ONLY, excluded from CORE, so the core/baseline model is forced to learn from subtler structural+spectral signal rather than this near-answer flag; always check extended-model feature importance/ablation with and without this column before trusting reported accuracy.",high (dominant hidden-truth driver; realistic input but very close to restating the answer),only where horizon-level stratigraphic mapping exists (not for a fully unmapped new location),synthetic (rule-based on documented horizon geometry)
formation_contact_distance_km,keep,core,"Distance to nearest formation-level contact; standard structural-geology proxy, non-negative distance confirmed.",low,yes,synthetic (derived from formation contact geometry)
geological_age_ma,keep,core,"Formation/complex age; ranges by unit are geologically consistent (Sausar Group ~1600-2100 Ma, Tirodi Gneiss ~2100-2600 Ma, Amgaon Gneissic Complex ~2500-3200 Ma, cover <70 Ma) - checked and plausible for the region, no correction needed.",low,yes,"real (relative age relationships), synthetic numeric value"
metamorphic_grade,keep,core,Ordinal metamorphic facies; matches literature (lower-to-mid amphibolite typical of ore-bearing rocks).,low,yes,"real (facies concept), synthetic assignment"
