feature_name,category,data_type,unit_or_scale,description,tier,ml_usage_note
sample_id,Location,string,-,Unique synthetic sample identifier (SAU-000001 ...).,support - identifier,identifier - exclude from model input
latitude,Location,float,decimal degrees (WGS84),Synthetic sample latitude within the Sausar-belt study region.,support + core feature,yes (or derive spatial features)
longitude,Location,float,decimal degrees (WGS84),Synthetic sample longitude within the Sausar-belt study region.,support + core feature,yes (or derive spatial features)
spatial_block_id,Location,string,-,0.05 deg (~5.5 km) grid-block ID; use for spatial blocking / spatial CV folds.,support - spatial CV group,"use for grouping only, never as a raw feature"
regional_zone_id,Location,string,-,10-cluster KMeans regional zone ID (spatial); use for spatial cross-validation.,support - spatial CV group,"use for grouping only, never as a raw feature"
label_status,Label,string (categorical),POSITIVE / UNLABELLED / UNCERTAIN,Primary PU-learning-style label reflecting real exploration-data status.,support - target,target (PU-learning)
manganese_associated,Label,string (categorical),associated / not_documented / ambiguous,Domain-framed restatement of label_status.,support - target (alternate framing),target (alternative framing)
data_quality_flag,Support,string (categorical),-,Row-level QC flag: 'ok' or 'value_corrected_physical_bound' if any raw field on that row was clipped during the audit pass (see feature_audit file) because the documented outlier-injection mechanism had pushed it past a physically possible bound.,support - QC,exclude from model input; optional sample-weighting/QC signal
feature_distribution_distance,OOD support,float,Mahalanobis-like distance (>=0),Distance of the sample's feature vector from the overall training-feature centroid/covariance. Use only for the OUT-OF-STUDY-DOMAIN / LOW-APPLICABILITY check.,support - OOD only,exclude from prospectivity feature set; use only in a separate OOD/applicability-domain module
distance_to_nearest_known_manganese_occurrence_km,Location,float,km,Euclidean distance to nearest documented MOIL mine / manganese occurrence used as a spatial anchor.,core,yes
geological_group,Geology,string (categorical),-,Sausar Group / Tirodi Gneissic Complex / Amgaon Gneissic Complex / Marginal cover.,core,yes (one-hot)
geological_formation,Geology,string (categorical),-,"Specific formation (Sitasaongi, Lohangi, Mansar, Chorbaoli, Junewani, Bichua, Tirodi Gneiss, Amgaon Gneissic Complex, Deccan/Alluvial cover).",core,yes (one-hot)
