feature_name,category,data_type,unit_or_scale,description,ml_usage_note
sample_id,Location,string,-,Unique synthetic sample identifier (SAU-000001 ...).,identifier - exclude from model input
latitude,Location,float,decimal degrees (WGS84),Synthetic sample latitude within the Sausar-belt study region.,yes (or derive spatial features)
longitude,Location,float,decimal degrees (WGS84),Synthetic sample longitude within the Sausar-belt study region.,yes (or derive spatial features)
state,Location,string (categorical),-,"Indian state (Madhya Pradesh / Maharashtra), simplified boundary.",yes (one-hot)
district,Location,string (categorical),-,"District (Balaghat / Bhandara), simplified boundary.",yes (one-hot)
study_area,Location,string (categorical),-,Named sub-corridor of the belt nearest to the sample (e.g. Balaghat-Bharweli Corridor).,yes (one-hot)
geological_domain,Location,string (categorical),-,"Broad tectono-stratigraphic domain: Sausar Group metasediments, Tirodi Gneiss basement, Amgaon Gneiss basement, or marginal cover.",yes (one-hot)
spatial_block_id,Location,string,-,0.05 deg (~5.5 km) grid-block ID; use for spatial blocking / spatial CV folds.,"use for grouping, not as a raw feature"
regional_zone_id,Location,string,-,10-cluster KMeans regional zone ID (spatial); use for spatial cross-validation.,"use for grouping, not as a raw feature"
distance_to_nearest_known_manganese_occurrence_km,Location,float,km,Euclidean distance to nearest documented MOIL mine / manganese occurrence used as a spatial anchor.,yes
geological_group,Geology,string (categorical),-,Sausar Group / Tirodi Gneissic Complex / Amgaon Gneissic Complex / Marginal cover.,yes (one-hot)
geological_formation,Geology,string (categorical),-,"Specific formation (Sitasaongi, Lohangi, Mansar, Chorbaoli, Junewani, Bichua, Tirodi Gneiss, Amgaon Gneissic Complex, Deccan/Alluvial cover).",yes (one-hot)
stratigraphic_unit,Geology,string (categorical),-,"Finer stratigraphic unit; for the Mansar Fm, one of the three documented manganese-ore horizons or non-ore interband.",yes (one-hot / target-encode)
lithology,Geology,string (categorical),-,Dominant rock type(s) of the formation.,yes (one-hot)
host_rock,Geology,string (categorical),-,Host-rock description; flagged '[ore-adjacent facies]' where within a documented Mn horizon.,yes (one-hot)
ore_host_compatibility_score,Geology,float,0-1 score,Synthetic score for how compatible the lithology/formation is with manganese ore hosting.,yes
manganese_bearing_horizon_indicator,Geology,int (0/1),binary,1 if sample falls within a documented Mansar Fm manganese horizon (or rare Bichua-flank gondite analogue).,yes - but see leakage note in metadata
formation_contact_distance_km,Geology,float,km,Distance to nearest (formation-level) geological contact.,yes
geological_age_ma,Geology,float,million years (Ma),Approximate age of the host formation/complex.,yes
metamorphic_grade,Geology,string (ordinal categorical),-,Low (greenschist) / medium (lower amphibolite) / high (upper amphibolite) / granulite facies.,yes (ordinal or one-hot)
weathering_class,Geology,string (categorical),-,"Fresh/slightly weathered, moderately weathered, or highly weathered/lateritic.",yes (one-hot)
alteration_intensity,Geology,float,0-1 score,Synthetic proxy for hydrothermal/pneumatolytic alteration intensity (felspathisation etc. documented around ore bodies).,yes
geological_complexity_score,Geology,float,0-1 score,Composite structural/lithological heterogeneity score.,yes
distance_to_fault_km,Structural,float,km,Distance to nearest synthetic fault trace.,yes
distance_to_lineament_km,Structural,float,km,Distance to nearest synthetic lineament.,yes
lineament_density_per_sq_km,Structural,float,count/km^2 (proxy),Local lineament density.,yes
lineament_intersection_density,Structural,float,proxy units,Local lineament-intersection density.,yes
shear_zone_proximity_km,Structural,float,km,Distance to nearest synthetic shear/mylonite zone (documented host of epigenetic ore emplacement).,yes
structural_complexity_score,Structural,float,0-1 score,Composite polyphase-deformation complexity proxy.,yes
fold_presence,Structural,int (0/1),binary,Whether a fold structure is present at/near the sample.,yes
fold_position,Structural,string (categorical),-,"hinge/closure, limb, or not_applicable.",yes (one-hot)
fold_hinge_proximity_km,Structural,float,km,Distance to nearest synthetic fold-hinge trace.,yes
structural_orientation,Structural,string (categorical),-,"Dominant local structural bearing (NNE-SSW, ENE-WSW, NW-SE, N-S, E-W).",yes (one-hot)
distance_to_major_geological_contact_km,Structural,float,km,Distance to nearest group-level (major) geological contact.,yes
drainage_anomaly_score,Structural,float,0-1 score,Proxy for anomalous/deflected drainage patterns near faults.,yes
elevation_m,Terrain/DEM,float,metres ASL,Synthetic DEM elevation.,yes
slope_deg,Terrain/DEM,float,degrees,Synthetic slope.,yes
aspect_deg,Terrain/DEM,float,degrees (0-360),Synthetic slope aspect.,yes (consider sin/cos encoding)
curvature,Terrain/DEM,float,unitless (z-scored),Synthetic surface curvature (Laplacian-based).,yes
terrain_ruggedness,Terrain/DEM,float,unitless index,Synthetic terrain ruggedness index (TRI-like).,yes
local_relief_m,Terrain/DEM,float,metres,Synthetic local relief.,yes
drainage_density,Terrain/DEM,float,km/km^2 (proxy),Synthetic drainage density.,yes
topographic_position_index,Terrain/DEM,float,unitless (TPI-like),Elevation relative to 1 km smoothed neighbourhood mean.,yes
valley_or_ridge_class,Terrain/DEM,string (categorical),-,"ridge / slope / valley, derived from TPI.",yes (one-hot)
B2,Sentinel-2,float,"surface reflectance (0-1, synthetic)",Blue band (synthetic).,yes
B3,Sentinel-2,float,"surface reflectance (0-1, synthetic)",Green band (synthetic).,yes
B4,Sentinel-2,float,"surface reflectance (0-1, synthetic)",Red band (synthetic).,yes
B5,Sentinel-2,float,"surface reflectance (0-1, synthetic)",Red-edge 1 (synthetic).,yes
B6,Sentinel-2,float,"surface reflectance (0-1, synthetic)",Red-edge 2 (synthetic).,yes
B7,Sentinel-2,float,"surface reflectance (0-1, synthetic)",Red-edge 3 (synthetic).,yes
B8,Sentinel-2,float,"surface reflectance (0-1, synthetic)",NIR (synthetic).,yes
B8A,Sentinel-2,float,"surface reflectance (0-1, synthetic)",Narrow NIR (synthetic).,yes
B11,Sentinel-2,float,"surface reflectance (0-1, synthetic)",SWIR 1 (synthetic).,yes
B12,Sentinel-2,float,"surface reflectance (0-1, synthetic)",SWIR 2 (synthetic).,yes
