parameter,value
generation_date,2026-09-05
random_seed,42 (numpy.random.default_rng; KMeans random_state=42)
n_samples,20000
n_columns,114
output_files,sausar_manganese_synthetic_dataset.csv; sausar_manganese_feature_dictionary.csv; sausar_manganese_generation_metadata.csv; sausar_manganese_research_basis.csv
study_region_bbox,"latitude 20.95-22.15 N, longitude 79.35-80.65 E (Balaghat district, Madhya Pradesh and Bhandara district, Maharashtra sectors of the Sausar manganese belt)"
coordinate_projection_for_generation,"Local equirectangular km projection about latitude 21.55 N (1 deg lat = 110.57 km, 1 deg lon = 111.32*cos(21.55deg) km) used only for internal distance/field computations; output stored as WGS84 lat/lon"
spatial_anchors_used,"8 documented MOIL mines / manganese occurrences: Balaghat Mine, Bharweli Mine, Tirodi Mine, Ukwa Mine, Sukli-Sitapatore Occurrence, Ramrama Occurrence, Chikla Mine, Dongri Buzurg Mine (coordinates cross-checked against gazetteer/mindat sources; see research-basis file). Anchors were used ONLY to (a) bias sample-location density, (b) define POSITIVE cluster candidate zones, and (c) define the belt strike axis used for structural-control features. They are not present verbatim as separate rows."
belt_axis_model,Two polylines approximating the documented NNE-SSW to ENE-WSW conformable ore-band trend: a 6-point main axis (Tirodi - Sukli/Sitapatore - Ramrama - Balaghat - Bharweli - Ukwa) and a 2-point splay axis (Dongri Buzurg - Chikla).
sampling_strategy,"35% of samples spatially biased toward the 8 anchors (radial gamma-distributed offsets, anchor chosen with probability proportional to a documented-deposit-size weight); remaining 65% split between uniform coverage of the full study-region box (60%) and 9 broad, geology-independent regional density modes (40%) representing realistic survey/accessibility clustering unrelated to mineralisation. All coordinates are hard-clipped to the study-region bounding box."
spatial_autocorrelation_method,"Continuous fields (elevation, lineament density, structural complexity, vegetation/lithology/iron-oxide spectral latents, gravity) generated as sums of 40-70 randomly located, randomly scaled 2D Gaussian 'bump' basis functions (length scales 1-30 km). This gives analytically exact Gaussian-kernel smoothing at any bandwidth, used both for the base fields and for the 100 m/500 m/1 km multi-scale neighbourhood features."
multiscale_neighbourhood_caveat,"Because samples are a sparse point cloud (~20,000 points over ~17,000 sq km, average nearest-neighbour spacing ~0.9 km), 100 m/500 m/1 km neighbourhood aggregates are NOT computed from neighbouring sample points (which would be mostly empty at 100 m). They are instead evaluated directly from the underlying continuous field at each requested smoothing bandwidth (an approximation of what a real raster-derived focal-statistics layer would show), with a local-gradient-based term added to std_* columns to mimic reduced pixel noise / retained real heterogeneity at larger windows."
hidden_ground_truth_formula,"logit = 2.6*exp(-d_anchor/3) + 1.6*exp(-d_axis/4) + 1.8*mn_horizon + 1.1*z(ore_host_compat) + 0.9*exp(-d_shear/4) + 0.7*z(struct_complexity) + 0.6*z(metamorphic_favourability) + 0.5*z(gondite_assoc) + 0.3*z(alteration) - 3.1 (intercept) + Normal(0, 1.35) noise; probability = sigmoid(logit). z(.) = column z-score. This is a documented, inspectable formula, not a black box, so users can audit exactly how much noise vs. signal it contains."
label_assignment_logic,"POSITIVE: only candidate within an anchor's documented-radius buffer AND passes a probability draw weighted by (but not equal to) the hidden ground truth (~55% weight + 15% floor, capped 85%) -> intentionally leaves some in-radius points UNLABELLED / UNCERTAIN (overlap by design). UNCERTAIN: hidden probability in a moderate band (0.30-0.55, with added noise) and not already POSITIVE, kept ~50% of the time, anywhere in the belt (not restricted to near anchors). Everything else -> UNLABELLED, which therefore includes some high-hidden-probability 'undiscovered-prospective' points on purpose, consistent with real PU-learning exploration settings."
label_prevalence_achieved,POSITIVE 1273/20000 (6.37%); UNCERTAIN 1117/20000 (5.59%); UNLABELLED 17610/20000 (88.05%)
temporary_binary_label_definition,1 if synthetic_ground_truth_probability > 0.55 else 0. Provided ONLY for optional comparison experiments; it is explicitly NOT the recommended PU-learning target and should never be described to end users as a confirmed ground truth.
leakage_safeguard,"synthetic_ground_truth_probability is written to the CSV but must be excluded from any model's feature set - it is provided purely to evaluate whether a trained model recovers the simulated signal (e.g. rank-correlation between model score and this column on held-out spatial blocks). manganese_mineral_association_score was deliberately built from only a subset of the same underlying geological/structural drivers (excluding spectral and geophysical channels) plus its own independent noise, so it correlates with but does not equal the hidden ground truth."
max_abs_correlation_single_feature_vs_positive_label,"0.471 (legacy_report_evidence_score) - checked post-generation across all numeric columns; no feature is close to 1.0, i.e. no trivial single-variable separability."
missingness_mechanism,"Per-column missing rates drawn per-run (documented ranges): Sentinel-1/2 optical/radar bands & derived indices 1-4%; ASTER proxies 4-8% (sparser revisit); geophysical proxies 5-9% (patchier survey coverage); legacy report fields 5-10% (archive gaps); multi-scale neighbourhood features 2-5%; all other numeric/categorical features 0.5-2%. Identifiers, coordinates, labels, and synthetic_ground_truth_probability are never made missing. Overall missingness ~2.3% of all cells."
outlier_mechanism,"For 10 selected continuous columns (B11, B12, VV, VH, gravity_anomaly_proxy, radar_backscatter_mean, elevation_m, terrain_ruggedness, spectral_anomaly_score, legacy_report_evidence_score), 0.3-0.8% of rows had the value shifted by +/-(2.5-5.0) x that column's standard deviation, simulating sensor artefacts / genuine geological extremes."
recommended_ml_uses,"Random Forest / XGBoost baselines on label_status (treat UNLABELLED as unlabeled, not negative) or manganese_associated; PU-learning (e.g. elkanoto, nnPU) using POSITIVE vs UNLABELLED; spatial cross-validation using spatial_block_id or regional_zone_id as groups (never random row-wise CV, since spatial autocorrelation is deliberately present); uncertainty estimation on the UNCERTAIN subset; OOD detection using feature_distribution_distance / synthetic_ood_score; recovery-of-signal evaluation against synthetic_ground_truth_probability (evaluation only, never as a feature)."
known_simplifications,"State/district boundary approximated by a single latitude threshold (21.62N); fault/lineament/shear-zone/fold-hinge networks are synthetic random line-segment sets constrained to documented strike directions, not digitised from an actual GSI structural map; gravity/geophysical proxies follow a general mineral-exploration principle (dense ore -> gravity high) rather than a Sausar-belt-specific survey (no such survey was located in this research pass - see research-basis file, marked 'assumption')."
